service_id,date,exception_type
1414753,20260505,1
1414754,20260408,1
1414754,20260409,1
1414754,20260410,1
1414754,20260413,1
1414754,20260414,1
1414754,20260415,1
1414754,20260416,1
1414754,20260417,1
1414754,20260504,1
1414754,20260505,1
1414755,20260408,1
1414755,20260409,1
1414755,20260410,1
1414755,20260413,1
1414755,20260414,1
1414755,20260415,1
1414755,20260416,1
1414755,20260417,1
1414755,20260504,1
1414755,20260505,1
1414756,20260408,1
1414756,20260409,1
1414756,20260410,1
1414756,20260413,1
1414756,20260414,1
1414756,20260415,1
1414756,20260416,1
1414756,20260417,1
1414756,20260504,1
1414756,20260505,1
1414757,20260408,1
1414757,20260409,1
1414757,20260410,1
1414757,20260413,1
1414757,20260414,1
1414757,20260415,1
1414757,20260416,1
1414757,20260417,1
1414757,20260504,1
1414757,20260505,1
1414758,20260408,1
1414758,20260409,1
1414758,20260410,1
1414758,20260413,1
1414758,20260414,1
1414758,20260415,1
1414758,20260416,1
1414758,20260417,1
1414758,20260504,1
1414758,20260505,1
1414759,20260408,1
1414759,20260409,1
1414759,20260410,1
1414759,20260413,1
1414759,20260414,1
1414759,20260415,1
1414759,20260416,1
1414759,20260417,1
1414759,20260504,1
1414759,20260505,1
1414760,20260408,1
1414760,20260409,1
1414760,20260410,1
1414760,20260413,1
1414760,20260414,1
1414760,20260415,1
1414760,20260416,1
1414760,20260417,1
1414760,20260504,1
1414760,20260505,1
1414761,20260408,1
1414761,20260409,1
1414761,20260410,1
1414761,20260413,1
1414761,20260414,1
1414761,20260415,1
1414761,20260416,1
1414761,20260417,1
1414761,20260504,1
1414761,20260505,1
1414762,20260408,1
1414762,20260409,1
1414762,20260410,1
1414762,20260413,1
1414762,20260414,1
1414762,20260415,1
1414762,20260416,1
1414762,20260417,1
1414762,20260504,1
1414762,20260505,1
1414763,20260408,1
1414763,20260409,1
1414763,20260410,1
1414763,20260413,1
1414763,20260414,1
1414763,20260415,1
1414763,20260416,1
1414763,20260417,1
1414763,20260504,1
1414763,20260505,1
1414764,20260408,1
1414764,20260409,1
1414764,20260410,1
1414764,20260413,1
1414764,20260414,1
1414764,20260415,1
1414764,20260416,1
1414764,20260417,1
1414764,20260504,1
1414764,20260505,1
1414765,20260408,1
1414765,20260409,1
1414765,20260410,1
1414765,20260413,1
1414765,20260414,1
1414765,20260415,1
1414765,20260416,1
1414765,20260417,1
1414765,20260504,1
1414765,20260505,1
1414766,20260408,1
1414766,20260409,1
1414766,20260410,1
1414766,20260413,1
1414766,20260414,1
1414766,20260415,1
1414766,20260416,1
1414766,20260417,1
1414766,20260504,1
1414766,20260505,1
1414767,20260408,1
1414767,20260409,1
1414767,20260410,1
1414767,20260413,1
1414767,20260414,1
1414767,20260415,1
1414767,20260416,1
1414767,20260417,1
1414767,20260504,1
1414767,20260505,1
1414768,20260408,1
1414768,20260409,1
1414768,20260410,1
1414768,20260413,1
1414768,20260414,1
1414768,20260415,1
1414768,20260416,1
1414768,20260417,1
1414768,20260504,1
1414768,20260505,1
1414769,20260408,1
1414769,20260409,1
1414769,20260410,1
1414769,20260413,1
1414769,20260414,1
1414769,20260415,1
1414769,20260416,1
1414769,20260417,1
1414769,20260504,1
1414769,20260505,1
1414770,20260408,1
1414770,20260409,1
1414770,20260410,1
1414770,20260413,1
1414770,20260414,1
1414770,20260415,1
1414770,20260416,1
1414770,20260417,1
1414770,20260504,1
1414770,20260505,1
1414771,20260408,1
1414771,20260409,1
1414771,20260410,1
1414771,20260413,1
1414771,20260414,1
1414771,20260415,1
1414771,20260416,1
1414771,20260417,1
1414771,20260504,1
1414771,20260505,1
1414772,20260408,1
1414772,20260409,1
1414772,20260410,1
1414772,20260413,1
1414772,20260414,1
1414772,20260415,1
1414772,20260416,1
1414772,20260417,1
1414772,20260504,1
1414772,20260505,1
1414773,20260408,1
1414773,20260409,1
1414773,20260410,1
1414773,20260413,1
1414773,20260414,1
1414773,20260415,1
1414773,20260416,1
1414773,20260417,1
1414773,20260504,1
1414773,20260505,1
1414774,20260408,1
1414774,20260409,1
1414774,20260410,1
1414774,20260413,1
1414774,20260414,1
1414774,20260415,1
1414774,20260416,1
1414774,20260417,1
1414774,20260504,1
1414774,20260505,1
1414775,20260408,1
1414775,20260409,1
1414775,20260410,1
1414775,20260413,1
1414775,20260414,1
1414775,20260415,1
1414775,20260416,1
1414775,20260417,1
1414775,20260504,1
1414775,20260505,1
1414776,20260408,1
1414776,20260409,1
1414776,20260410,1
1414776,20260413,1
1414776,20260414,1
1414776,20260415,1
1414776,20260416,1
1414776,20260417,1
1414776,20260504,1
1414776,20260505,1
1414777,20260408,1
1414777,20260409,1
1414777,20260410,1
1414777,20260413,1
1414777,20260414,1
1414777,20260415,1
1414777,20260416,1
1414777,20260417,1
1414777,20260504,1
1414777,20260505,1
1414778,20260408,1
1414778,20260409,1
1414778,20260410,1
1414778,20260413,1
1414778,20260414,1
1414778,20260415,1
1414778,20260416,1
1414778,20260417,1
1414778,20260504,1
1414778,20260505,1
1414779,20260408,1
1414779,20260409,1
1414779,20260410,1
1414779,20260413,1
1414779,20260414,1
1414779,20260415,1
1414779,20260416,1
1414779,20260417,1
1414779,20260504,1
1414779,20260505,1
1414780,20260408,1
1414780,20260409,1
1414780,20260410,1
1414780,20260413,1
1414780,20260414,1
1414780,20260415,1
1414780,20260416,1
1414780,20260417,1
1414780,20260504,1
1414780,20260505,1
1414781,20260408,1
1414781,20260409,1
1414781,20260410,1
1414781,20260413,1
1414781,20260414,1
1414781,20260415,1
1414781,20260416,1
1414781,20260417,1
1414781,20260504,1
1414781,20260505,1
1414782,20260408,1
1414782,20260409,1
1414782,20260410,1
1414782,20260413,1
1414782,20260414,1
1414782,20260415,1
1414782,20260416,1
1414782,20260417,1
1414782,20260504,1
1414782,20260505,1
1414783,20260408,1
1414783,20260409,1
1414783,20260410,1
1414783,20260413,1
1414783,20260414,1
1414783,20260415,1
1414783,20260416,1
1414783,20260417,1
1414783,20260504,1
1414783,20260505,1
1414784,20260408,1
1414784,20260409,1
1414784,20260410,1
1414784,20260413,1
1414784,20260414,1
1414784,20260415,1
1414784,20260416,1
1414784,20260417,1
1414784,20260504,1
1414784,20260505,1
1414785,20260408,1
1414785,20260409,1
1414785,20260410,1
1414785,20260413,1
1414785,20260414,1
1414785,20260415,1
1414785,20260416,1
1414785,20260417,1
